domain,metric,baseline,n,mean_diff,sd_diff,ci_lo,ci_hi,cohen_dz,pct_seeds_cdacf_higher,p_perm,perm_kind,p_wilcoxon,p_perm_holm
TRAFFIC,latency,PoW,30,-0.11798174973537484,0.0017971073186617912,-0.11860798150454026,-0.11733487928790594,-65.650920515548,0.0,0.0,monte-carlo (200k),1.862645149230957e-09,0.0
TRAFFIC,latency,PoS,30,-0.017334447153970225,0.001285196201870478,-0.01777881697228452,-0.01687320644073027,-13.487782743787777,0.0,0.0,monte-carlo (200k),1.862645149230957e-09,0.0
TRAFFIC,latency,PBFT,30,0.007653764676068307,0.0012965626430045398,0.00720140716376788,0.008104136901864402,5.903119851064155,1.0,0.0,monte-carlo (200k),1.862645149230957e-09,0.0
TRAFFIC,latency,PoA,30,-0.011090221176566708,0.0012849156024564367,-0.011532600857758844,-0.010634372785215172,-8.631089197893608,0.0,0.0,monte-carlo (200k),1.862645149230957e-09,0.0
TRAFFIC,latency,DPoS,30,0.03264751992660871,0.0013455214495641291,0.032180603468812234,0.033128567760348525,24.263842049626646,1.0,0.0,monte-carlo (200k),1.862645149230957e-09,0.0
TRAFFIC,throughput,PoW,30,0.3160573359387916,0.0023782373432674037,0.31521913579512634,0.31689114890476827,132.89562407785925,1.0,0.0,monte-carlo (200k),1.862645149230957e-09,0.0
TRAFFIC,throughput,PoS,30,0.06378657098761949,0.0023905488055888584,0.06292549300547509,0.06461295783175365,26.68281477395191,1.0,0.0,monte-carlo (200k),1.862645149230957e-09,0.0
TRAFFIC,throughput,PBFT,30,-0.008290790427001113,0.0024015621500684137,-0.009139919264102445,-0.007453409941478271,-3.4522489566905157,0.0,0.0,monte-carlo (200k),1.862645149230957e-09,0.0
TRAFFIC,throughput,PoA,30,-0.02270626270992522,0.0024041581347763823,-0.023560353625332736,-0.021868969620859196,-9.44457953138644,0.0,0.0,monte-carlo (200k),1.862645149230957e-09,0.0
TRAFFIC,throughput,DPoS,30,-0.04432947113431136,0.0024082960346904153,-0.0451686980448826,-0.04350417097099643,-18.40698589200222,0.0,0.0,monte-carlo (200k),1.862645149230957e-09,0.0
TRAFFIC,posture,PoW,30,0.07338610857750577,0.017415031481990192,0.06721574353417205,0.07938154414185362,4.213952105306168,1.0,0.0,monte-carlo (200k),1.862645149230957e-09,0.0
TRAFFIC,posture,PoS,30,0.07680606066481925,0.017421732268445296,0.07073646592977594,0.08277245845437119,4.408635116264095,1.0,0.0,monte-carlo (200k),1.862645149230957e-09,0.0
TRAFFIC,posture,PBFT,30,-0.04693603792222677,0.017397612046167917,-0.0529749936854465,-0.04093024623016918,-2.697843692437384,0.0,0.0,monte-carlo (200k),1.862645149230957e-09,0.0
TRAFFIC,posture,PoA,30,0.1351751439706795,0.017394724265829383,0.1291035687575293,0.14110607253127044,7.771042639418023,1.0,0.0,monte-carlo (200k),1.862645149230957e-09,0.0
TRAFFIC,posture,DPoS,30,0.06411634965489596,0.01741960230291877,0.058163522573299,0.07010583705810164,3.6807011170486277,1.0,0.0,monte-carlo (200k),1.862645149230957e-09,0.0
ENVIRONMENTAL,latency,PoW,30,-0.12934126737676846,0.0024277804067912956,-0.13018319721611307,-0.12849808874186658,-53.2755215483899,0.0,0.0,monte-carlo (200k),1.862645149230957e-09,0.0
ENVIRONMENTAL,latency,PoS,30,-0.001393777000078178,3.3037352989323774e-05,-0.0014050573566715698,-0.001381738162715753,-42.18791379952824,0.0,0.0,monte-carlo (200k),1.862645149230957e-09,0.0
ENVIRONMENTAL,latency,PBFT,30,0.06923210094560037,0.00035114672003943844,0.0691126181318613,0.06935779406551035,197.16003879468013,1.0,0.0,monte-carlo (200k),1.862645149230957e-09,0.0
ENVIRONMENTAL,latency,PoA,30,0.015922430676564087,0.00012002990106008215,0.01588228140233071,0.01596597895132839,132.6538682106716,1.0,0.0,monte-carlo (200k),1.862645149230957e-09,0.0
ENVIRONMENTAL,latency,DPoS,30,0.14266599453432163,0.0008597070428254883,0.142366559946662,0.14297003762031835,165.9472208875243,1.0,0.0,monte-carlo (200k),1.862645149230957e-09,0.0
ENVIRONMENTAL,throughput,PoW,30,0.2989352244675827,0.00029814563874599304,0.2988234985914645,0.29903635544983725,1002.6483222257104,1.0,0.0,monte-carlo (200k),1.862645149230957e-09,0.0
ENVIRONMENTAL,throughput,PoS,30,0.0013095473570206573,4.710951765898051e-06,0.0013078772664813056,0.0013112322348051114,277.97936003087426,1.0,0.0,monte-carlo (200k),1.862645149230957e-09,0.0
ENVIRONMENTAL,throughput,PBFT,30,-0.08372636038885418,8.65429208126237e-05,-0.08375537686809359,-0.08369444390908054,-967.4547565841033,0.0,0.0,monte-carlo (200k),1.862645149230957e-09,0.0
ENVIRONMENTAL,throughput,PoA,30,-0.1007335419380292,0.00010361287760368984,-0.1007683935358313,-0.10069475515004947,-972.2106389451527,0.0,0.0,monte-carlo (200k),1.862645149230957e-09,0.0
ENVIRONMENTAL,throughput,DPoS,30,-0.12624431426179158,0.00012922785817573527,-0.12628803850003403,-0.12619657098641818,-976.9125329780951,0.0,0.0,monte-carlo (200k),1.862645149230957e-09,0.0
ENVIRONMENTAL,posture,PoW,30,-0.02906351723592528,0.0003383464239757072,-0.029170207388889244,-0.028933654242136085,-85.89869783288148,0.0,0.0,monte-carlo (200k),1.862645149230957e-09,0.0
ENVIRONMENTAL,posture,PoS,30,-0.026809202913503586,5.669896416630268e-05,-0.026828530955112596,-0.026788648648821353,-472.8340862607297,0.0,0.0,monte-carlo (200k),1.862645149230957e-09,0.0
ENVIRONMENTAL,posture,PBFT,30,-0.1498775979124095,0.0011843031629278345,-0.1502646118862286,-0.14943189872528984,-126.55340507736388,0.0,0.0,monte-carlo (200k),1.862645149230957e-09,0.0
ENVIRONMENTAL,posture,PoA,30,0.03420484200000003,0.00029913695164126837,0.03411078930000001,0.03432019499999999,114.34509114413665,1.0,0.0,monte-carlo (200k),1.7333066441991056e-06,0.0
ENVIRONMENTAL,posture,DPoS,30,-0.04029947216616095,0.00018182980752005822,-0.040365270063867725,-0.04023696877391275,-221.6329254031432,0.0,0.0,monte-carlo (200k),1.862645149230957e-09,0.0
