domain,seed,system,latency,throughput,energy,posture,switches
TRAFFIC,5,CDACF,0.17895076653766176,0.6426875066674944,0.7773399999999999,0.8527688207327615,11
TRAFFIC,5,PoW,0.29610078007618257,0.32473721905948966,0.08,0.7661561411375606,0
TRAFFIC,5,PoS,0.19694357782080027,0.5773106116613149,0.8800000000000002,0.7628345331665056,0
TRAFFIC,5,PBFT,0.1723256305932002,0.6494744381189793,0.6999999999999998,0.8863704364832395,0
TRAFFIC,5,PoA,0.19078909101390024,0.6639072034105122,0.9299999999999998,0.7044154370009994,0
TRAFFIC,5,DPoS,0.1477076833656002,0.6855563513478116,0.8599999999999999,0.7755571303456125,0
TRAFFIC,6,CDACF,0.1814734362439326,0.6413227055242019,0.77612,0.8541039685462143,11
TRAFFIC,6,PoW,0.30106526352942964,0.323920814317474,0.08,0.7665037301574114,0
TRAFFIC,6,PoS,0.20013735420197795,0.575859225453287,0.8800000000000002,0.7630534732156616,0
TRAFFIC,6,PBFT,0.17512018492673068,0.647841628634948,0.6999999999999998,0.8866174928307056,0
TRAFFIC,6,PoA,0.19388306188316615,0.6622381092712801,0.9299999999999998,0.7046411827608363,0
TRAFFIC,6,DPoS,0.15010301565148346,0.6838328302257783,0.8599999999999999,0.7756171870453276,0
TRAFFIC,7,CDACF,0.18069632193944238,0.6417412611479574,0.78226,0.8514513168663819,13
TRAFFIC,7,PoW,0.3023238498000364,0.3235183049792551,0.08,0.7651280911736594,0
TRAFFIC,7,PoS,0.1994061230604649,0.5751436532964536,0.8800000000000002,0.7619356781639631,0
TRAFFIC,7,PBFT,0.1744803576779068,0.6470366099585102,0.6999999999999998,0.8860374630983415,0
TRAFFIC,7,PoA,0.19317468171482538,0.6614152012909215,0.9299999999999998,0.7034520808603851,0
TRAFFIC,7,DPoS,0.14955459229534868,0.6829830882895385,0.8599999999999999,0.7749628470582585,0
TRAFFIC,8,CDACF,0.18494459365351762,0.6373683925165184,0.7960999999999999,0.8194019094546797,12
TRAFFIC,8,PoW,0.301995657645867,0.3241314552704974,0.08,0.7661411760926634,0
TRAFFIC,8,PoS,0.20089830264361647,0.5762336982586621,0.8800000000000002,0.7628208157658298,0
TRAFFIC,8,PBFT,0.17578601481316436,0.6482629105409948,0.6999999999999998,0.886758532946533,0
TRAFFIC,8,PoA,0.19462023068600343,0.6626687529974613,0.9299999999999998,0.7042787760926633,0
TRAFFIC,8,DPoS,0.1506737269827123,0.6842775166821612,0.8599999999999999,0.7756959414192831,0
TRAFFIC,9,CDACF,0.183225450323021,0.6388166731812513,0.7956799999999999,0.8191042990146706,13
TRAFFIC,9,PoW,0.30076586874012023,0.3246727329210268,0.08,0.7660277207814719,0
TRAFFIC,9,PoS,0.20008233578029092,0.577195969637381,0.8800000000000002,0.7624945163662593,0
TRAFFIC,9,PBFT,0.1750720438077545,0.6493454658420535,0.6999999999999998,0.8863946092515321,0
TRAFFIC,9,PoA,0.19382976278715683,0.663775365082988,0.9299999999999998,0.7042320215553624,0
TRAFFIC,9,DPoS,0.15006175183521817,0.6854202139443897,0.8599999999999999,0.7751634511857685,0
TRAFFIC,10,CDACF,0.18455906052805296,0.6416723293599745,0.7764599999999999,0.8537427452059706,11
TRAFFIC,10,PoW,0.3026566481808109,0.3241241889972939,0.08,0.7661050906144703,0
TRAFFIC,10,PoS,0.20315555198063823,0.5762207804396335,0.8800000000000002,0.7626580977631765,0
TRAFFIC,10,PBFT,0.1777611079830584,0.6482483779945878,0.6999999999999998,0.8864504150520537,0
TRAFFIC,10,PoA,0.19680694098124327,0.6626538975055787,0.9299999999999998,0.704341193943655,0
TRAFFIC,10,DPoS,0.15236666398547863,0.6842621767720648,0.8599999999999999,0.7753473837897384,0
TRAFFIC,11,CDACF,0.18249989963309066,0.6372042638372588,0.7966199999999999,0.8178518106590975,13
TRAFFIC,11,PoW,0.2987094439817694,0.32411232550321395,0.08,0.7663150037816384,0
TRAFFIC,11,PoS,0.19832972284414516,0.5761996897834916,0.8800000000000002,0.7630528754026515,0
TRAFFIC,11,PBFT,0.17353850748862698,0.6482246510064279,0.6999999999999998,0.886742666762747,0
TRAFFIC,11,PoA,0.19213191900526558,0.6626296432510151,0.9299999999999998,0.7044545170761721,0
TRAFFIC,11,DPoS,0.14874729213310883,0.684237131617896,0.8599999999999999,0.7757638840163524,0
TRAFFIC,12,CDACF,0.18311733118060547,0.6382639384855177,0.7955,0.8194594998017332,13
TRAFFIC,12,PoW,0.30082559387340746,0.3243167010928843,0.08,0.7661163993031302,0
TRAFFIC,12,PoS,0.20010909137931146,0.5765630241651276,0.8800000000000002,0.7627262534986473,0
TRAFFIC,12,PBFT,0.1750954549568975,0.6486334021857686,0.6999999999999998,0.8864464569931549,0
TRAFFIC,12,PoA,0.19385568227370797,0.6630474777898967,0.9299999999999998,0.7043268362894274,0
TRAFFIC,12,DPoS,0.1500818185344836,0.6846685911960889,0.8599999999999999,0.7753971453558106,0
TRAFFIC,13,CDACF,0.18160566790986973,0.6411379939549858,0.77664,0.8547190263787577,10
TRAFFIC,13,PoW,0.29945849382583284,0.3238752303042961,0.08,0.7657679554698649,0
TRAFFIC,13,PoS,0.19968678638079432,0.5757781872076375,0.8800000000000002,0.7624070395080307,0
TRAFFIC,13,PBFT,0.17472593808319498,0.6477504606085922,0.6999999999999998,0.886521615795758,0
TRAFFIC,13,PoA,0.19344657430639448,0.662144915288783,0.9299999999999998,0.7040217943933197,0
