domain,metric,baseline,cdacf_mean,cdacf_sd,baseline_mean,baseline_sd,U,p_exact_two_sided,rank_biserial_r,p_holm
TRAFFIC,latency,PoW,0.18185811373951508,0.002310106724081319,0.3004502839583271,0.0025146772380130514,0.0,0.007936507936507936,1.0,0.03968253968253968
TRAFFIC,latency,PoS,0.18185811373951508,0.002310106724081319,0.19949353870143008,0.001520237162346348,0.0,0.007936507936507936,1.0,0.03968253968253968
TRAFFIC,latency,PBFT,0.18185811373951508,0.002310106724081319,0.1745568463637513,0.0013302075170530552,25.0,0.007936507936507936,-1.0,0.03968253968253968
TRAFFIC,latency,PoA,0.18185811373951508,0.002310106724081319,0.19325936561701038,0.0014727297510230303,0.0,0.007936507936507936,1.0,0.03968253968253968
TRAFFIC,latency,DPoS,0.18185811373951508,0.002310106724081319,0.1496201540260726,0.0011401778717597517,25.0,0.007936507936507936,-1.0,0.03968253968253968
TRAFFIC,throughput,PoW,0.6403873078074847,0.002212454293051039,0.3241961053095486,0.0005146251101557765,25.0,0.007936507936507936,-1.0,0.03968253968253968
TRAFFIC,throughput,PoS,0.6403873078074847,0.002212454293051039,0.5763486316614197,0.000914889084721369,25.0,0.007936507936507936,-1.0,0.03968253968253968
TRAFFIC,throughput,PBFT,0.6403873078074847,0.002212454293051039,0.6483922106190972,0.001029250220311553,0.0,0.007936507936507936,1.0,0.03968253968253968
TRAFFIC,throughput,PoA,0.6403873078074847,0.002212454293051039,0.6628009264106327,0.001052122447429606,0.0,0.007936507936507936,1.0,0.03968253968253968
TRAFFIC,throughput,DPoS,0.6403873078074847,0.002212454293051039,0.6844140000979358,0.0010864307881066544,0.0,0.007936507936507936,1.0,0.03968253968253968
TRAFFIC,mitigation_response,PoW,0.8393660629229416,0.01838477387898369,0.7659913718685534,0.0005144599195707054,25.0,0.007936507936507936,-1.0,0.03968253968253968
TRAFFIC,mitigation_response,PoS,0.8393660629229416,0.01838477387898369,0.7626278033356438,0.0004353126857244627,25.0,0.007936507936507936,-1.0,0.03968253968253968
TRAFFIC,mitigation_response,PBFT,0.8393660629229416,0.01838477387898369,0.8864357069220704,0.0002746862530668617,0.0,0.007936507936507936,1.0,0.03968253968253968
TRAFFIC,mitigation_response,PoA,0.8393660629229416,0.01838477387898369,0.7042038996540493,0.00044933099869016844,25.0,0.007936507936507936,-1.0,0.03968253968253968
TRAFFIC,mitigation_response,DPoS,0.8393660629229416,0.01838477387898369,0.77539931141085,0.0003187856439012934,25.0,0.007936507936507936,-1.0,0.03968253968253968
ENVIRONMENT,latency,PoW,0.8703867267035887,0.0010970679687188525,0.9992718543879231,0.000175947907410852,0.0,0.007936507936507936,1.0,0.03968253968253968
ENVIRONMENT,latency,PoS,0.8703867267035887,0.0010970679687188525,0.8717917322219948,0.001103073052204603,4.0,0.09523809523809523,0.6799999999999999,0.09523809523809523
ENVIRONMENT,latency,PBFT,0.8703867267035887,0.0010970679687188525,0.8011151624335462,0.0007475958101473624,25.0,0.007936507936507936,-1.0,0.03968253968253968
ENVIRONMENT,latency,PoA,0.8703867267035887,0.0010970679687188525,0.8544476275712928,0.0009878385592362493,25.0,0.007936507936507936,-1.0,0.03968253968253968
ENVIRONMENT,latency,DPoS,0.8703867267035887,0.0010970679687188525,0.727835760858294,0.00035187931676166387,25.0,0.007936507936507936,-1.0,0.03968253968253968
ENVIRONMENT,throughput,PoW,0.6812687365050435,0.000685104653883965,0.38247728245922363,0.0003840686038382246,25.0,0.007936507936507936,-1.0,0.03968253968253968
ENVIRONMENT,throughput,PoS,0.6812687365050435,0.000685104653883965,0.6799596132608419,0.0006827886290456525,23.0,0.031746031746031744,-0.8400000000000001,0.03968253968253968
ENVIRONMENT,throughput,PBFT,0.6812687365050435,0.000685104653883965,0.7649545649184473,0.0007681372076764492,0.0,0.007936507936507936,1.0,0.03968253968253968
ENVIRONMENT,throughput,PoA,0.6812687365050435,0.000685104653883965,0.7819535552499681,0.000785206923402548,0.0,0.007936507936507936,1.0,0.03968253968253968
ENVIRONMENT,throughput,DPoS,0.6812687365050435,0.000685104653883965,0.8074520407472496,0.0008108114969918,0.0,0.007936507936507936,1.0,0.03968253968253968
ENVIRONMENT,mitigation_response,PoW,0.7370313289288927,0.0011204527066417133,0.7661384255614866,0.001300427004325246,0.0,0.007936507936507936,1.0,0.03968253968253968
ENVIRONMENT,mitigation_response,PoS,0.7370313289288927,0.0011204527066417133,0.7638849611103493,0.0011448299066037352,0.0,0.007936507936507936,1.0,0.03968253968253968
ENVIRONMENT,mitigation_response,PBFT,0.7370313289288927,0.0011204527066417133,0.8871782396997103,0.0018551019115101472,0.0,0.007936507936507936,1.0,0.03968253968253968
ENVIRONMENT,mitigation_response,PoA,0.7370313289288927,0.0011204527066417133,0.7028907469288928,0.001279512542597861,25.0,0.007936507936507936,-1.0,0.03968253968253968
ENVIRONMENT,mitigation_response,DPoS,0.7370313289288927,0.0011204527066417133,0.7774570836360131,0.001283597195793368,0.0,0.007936507936507936,1.0,0.03968253968253968
