sigma,draw,seed,T_top_mech,T_top_share,T_switches,T_cdacf_posture,T_PoW_posture,T_PoS_posture,T_PBFT_posture,T_PoA_posture,T_DPoS_posture,E_top_mech,E_top_share,E_switches,E_cdacf_posture,E_PoW_posture,E_PoS_posture,E_PBFT_posture,E_PoA_posture,E_DPoS_posture
0.05,21,1021,PoS,0.438,12,0.8148858164540848,0.8153452082109452,0.7596498375284759,0.8906918686586585,0.6772911822467661,0.7548152185928125,PoS,0.986,1,0.7356766286181332,0.8196087949726512,0.762468499694737,0.8941987647953515,0.6776171677900933,0.7572262755675835
0.05,22,1022,PBFT,0.683,8,0.8554650569613468,0.7884321262947078,0.7404885756699998,0.8977433789505191,0.7268873647289622,0.7172416342677799,PoS,0.986,1,0.7131107634603643,0.7860252745664883,0.7388574631518583,0.8947615886590388,0.7229267461376137,0.7155064841489079
0.05,23,1023,PBFT,0.487,10,0.7437111212752855,0.748346205916971,0.7162827042431402,0.8497634436740782,0.6609773191606338,0.7310551858270126,PoS,0.986,1,0.692971063587127,0.7493416812055866,0.7174141882379474,0.8514410160654811,0.6604473117608916,0.7322898100854862
0.05,24,1024,PoS,0.514,10,0.7484833767406655,0.7490930390363478,0.7549117433623829,0.8548428429252066,0.6330338675173299,0.7878131927162035,PoS,0.986,1,0.7299760374198495,0.7499681639520943,0.7564607475065077,0.8558930745455807,0.6321376480227631,0.7901980357229101
0.05,25,1025,PBFT,0.583,10,0.803620028800867,0.7364408937874367,0.7376196782130439,0.880996963636967,0.7388038043646368,0.8017587439988231,PoS,0.986,1,0.7121128882424318,0.7359053921853365,0.7377262202182514,0.8813371969524127,0.736960268190764,0.8028535109595104
0.05,26,1026,PoS,0.495,11,0.8358484175283102,0.7364660500251459,0.7929080512254352,0.8873642676973967,0.6894183403142031,0.7650948359225196,PoS,0.986,1,0.7733092040483334,0.7348471662084357,0.7931118107484557,0.885398024366345,0.6864616936475113,0.7650399338544932
0.05,27,1027,PBFT,0.526,10,0.8589974833393936,0.6983982829108495,0.7705597868319332,0.8913871476272026,0.6627533889135643,0.8070285418508677,PoS,0.986,1,0.7467952889994981,0.698804244375839,0.7728094701120307,0.8925748757836017,0.6620319586121582,0.8091032372625983
0.05,28,1028,PBFT,0.522,10,0.881456124416173,0.7319633446087471,0.8031422899813985,0.9013095034381884,0.6840828870661053,0.7831475889360526,PoS,0.986,1,0.7865786555617551,0.7303957497493182,0.8032973122854421,0.8988171051917059,0.6810434786688959,0.7836954587920117
0.05,29,1029,PBFT,0.384,12,0.799223536730879,0.7394893525300394,0.7206275433138988,0.8772291736327964,0.6826398926584679,0.8064605104080802,PoS,0.986,1,0.69850904204316,0.741915871422032,0.7232174854013383,0.8808591814603156,0.6835729077642267,0.8102403696046732
0.05,30,1030,PBFT,0.555,9,0.8363234908299003,0.8020520515193309,0.7114998976187147,0.8869736899333607,0.7010316306107337,0.7813278725342486,PoS,0.986,1,0.6891524845081057,0.8055689738333829,0.7133306324037222,0.8900042635041974,0.701427225734709,0.7850658749053377
0.05,31,1031,PoS,0.496,7,0.8471529398922181,0.7527605335143934,0.8221019413839271,0.900317559379278,0.7328956559553181,0.7356874785521632,PoS,0.986,1,0.809183186023474,0.7495482789249777,0.8202528088191934,0.8960234511485241,0.7281030692811237,0.7335081165697818
