configuration,domain,latency_mean,latency_sd,throughput_mean,throughput_sd,mitigation_mean,mitigation_sd,switches_mean,switches_sd
Full stability gate (dwell + threshold),Traffic,0.18185811373951508,0.002310106724081319,0.6403873078074847,0.002212454293051039,0.8393660629229416,0.01838477387898369,12.0,1.0
Full stability gate (dwell + threshold),Environmental,0.8703867267035887,0.0010970679687188525,0.6812687365050435,0.000685104653883965,0.7370313289288927,0.0011204527066417133,1.0,0.0
No improvement threshold (dwell only),Traffic,0.19000603036291097,0.0013003943652286037,0.6331173651310107,0.0011609594346301997,0.804565378753842,0.0013885527894199352,14.0,1.224744871391589
No improvement threshold (dwell only),Environmental,0.8703867267035887,0.0010970679687188525,0.6812687365050435,0.000685104653883965,0.7370313289288927,0.0011204527066417133,1.0,0.0
No dwell (threshold only),Traffic,0.18233231786680099,0.002097054658237433,0.6403083325227147,0.0019910601630744288,0.8392758409229415,0.01834878771663037,12.0,1.0
No dwell (threshold only),Environmental,0.8717917322219948,0.001103073052204603,0.6799596132608419,0.0006827886290456525,0.7370313289288927,0.0011204527066417133,1.0,0.0
"Gate disabled (dwell=1, threshold=0)",Traffic,0.19022494735635356,0.001337337318019256,0.6330071568232627,0.0010075262568945637,0.8056868560767526,0.000544587986131924,20.2,1.0954451150103321
"Gate disabled (dwell=1, threshold=0)",Environmental,0.8717917322219948,0.001103073052204603,0.6799596132608419,0.0006827886290456525,0.7370313289288927,0.0011204527066417133,1.0,0.0
