domain,metric,baseline,mean_diff,margin,ci90_lo,ci90_hi,p_tost,equivalent,rel_diff_pct
ENVIRONMENTAL,latency,PoS,-0.001393777000078178,0.017426516492017544,-0.0014040257398060024,-0.0013835282603503537,5.7330188909998504e-80,True,-0.15996048329184054
ENVIRONMENTAL,latency,PBFT,0.06923210094560037,0.016013998933103978,0.0691231693571306,0.06934103253407013,1.0,False,8.646447553144826
ENVIRONMENTAL,latency,DPoS,0.14266599453432163,0.01454532106132955,0.14239929902372964,0.14293269004491363,1.0,False,19.616754272082176
ENVIRONMENTAL,latency,PoA,0.015922430676564087,0.0170801923384847,0.015885195392734936,0.01595966596039324,1.1064368907784124e-30,True,1.8644322453779436
ENVIRONMENTAL,latency,PoW,-0.12934126737676846,0.019985466299551353,-0.1300944054842178,-0.12858812926931912,1.0,False,-12.943532608961144
ENVIRONMENTAL,throughput,PoS,0.0013095473570206573,0.013605745239339976,0.0013080859409521659,0.0013110087730891487,3.709167172389128e-101,True,0.1924991735453345
ENVIRONMENTAL,throughput,PBFT,-0.08372636038885418,0.015306463394257475,-0.0837532074510562,-0.08369951332665217,1.0,False,-10.940000734626368
ENVIRONMENTAL,throughput,DPoS,-0.12624431426179158,0.016156822471716223,-0.126284402905832,-0.12620422561775116,1.0,False,-15.627369117014451
ENVIRONMENTAL,throughput,PoA,-0.1007335419380292,0.015646607025240976,-0.10076568438646792,-0.10070139948959049,1.0,False,-12.876087675177972
ENVIRONMENTAL,throughput,PoW,0.2989352244675827,0.0076532316971287375,0.29884273470142375,0.29902771423374164,1.0,False,78.11999853074727
ENVIRONMENTAL,posture,PoS,-0.026809202913503586,0.015273751945263135,-0.02682679188096007,-0.0267916139460471,1.0,False,-3.5104934281478823
ENVIRONMENTAL,posture,PBFT,-0.1498775979124095,0.01773511984524125,-0.15024498857108634,-0.14951020725373268,1.0,False,-16.90178574717951
ENVIRONMENTAL,posture,DPoS,-0.04029947216616095,0.015543557330316277,-0.0403558788151027,-0.0402430655172192,1.0,False,-5.185360250521358
ENVIRONMENTAL,posture,PoA,0.03420484200000003,0.014053471046993057,0.03411204471199282,0.034297639288007234,1.0,False,4.867814063247905
ENVIRONMENTAL,posture,PoW,-0.02906351723592528,0.015318838231711564,-0.029168477958362325,-0.028958556513488234,1.0,False,-3.794480599156772
TRAFFIC,latency,PoS,-0.017334447153970225,0.003998889971676428,-0.017733136521620695,-0.016935757786319755,1.0,False,-8.669629460549134
TRAFFIC,latency,PBFT,0.007653764676068307,0.003499125735075658,0.007251549248177711,0.008055980103958901,1.0,False,4.374672564261437
TRAFFIC,latency,DPoS,0.03264751992660871,0.0029992506300648503,0.03223011665767116,0.03306492319554627,1.0,False,21.770451324971667
TRAFFIC,latency,PoA,-0.011090221176566708,0.003874005452128358,-0.011488823497583532,-0.010691618855549884,1.0,False,-5.725454604341767
TRAFFIC,latency,PoW,-0.11798174973537484,0.006011836023304521,-0.11853924249751849,-0.1174242569732312,1.0,False,-39.24982294195174
TRAFFIC,throughput,PoS,0.06378657098761949,0.011532377826339297,0.06304498274587812,0.06452815922936085,1.0,False,11.062171557011352
TRAFFIC,throughput,PBFT,-0.008290790427001113,0.012973925054631708,-0.009035795192491832,-0.007545785661510393,7.253770991040934e-12,True,-1.2780697271010193
TRAFFIC,throughput,DPoS,-0.04432947113431136,0.013694698668777917,-0.04507656486349328,-0.04358237740512944,1.0,False,-6.473960794095694
TRAFFIC,throughput,PoA,-0.02270626270992522,0.013262234500290196,-0.02345207279331226,-0.02196045262653818,1.0,False,-3.4241986460770812
TRAFFIC,throughput,PoW,0.3160573359387916,0.006486962527315854,0.3153195669186762,0.316795104958907,1.0,False,97.44386054579796
TRAFFIC,posture,PoS,0.07680606066481925,0.015255503731962883,0.07140154778859598,0.08221057354104253,1.0,False,10.06929197675688
TRAFFIC,posture,PBFT,-0.04693603792222677,0.0177303457037038,-0.05233306830188387,-0.041539007542569666,0.9999999997860686,False,-5.294430092518953
TRAFFIC,posture,DPoS,0.06411634965489596,0.015509297952161348,0.05871249752962079,0.06952020178017113,0.999999999999999,False,8.26811759663961
TRAFFIC,posture,PoA,0.1351751439706795,0.014088122065845672,0.1297790094288061,0.1405712785125529,1.0,False,19.18994502445281
TRAFFIC,posture,PoW,0.07338610857750577,0.01532390277370915,0.06798367439736848,0.07878854275764306,1.0,False,9.57799193341432
